driver_id,steam_id,team,name
0,76561197989276622,[SAU],Dremet
1,76561198055146098,[VRB],Frozeni
2,76561198038978283,[VRB],Wispa Gold
3,76561197960585277,[MER],Grandie
4,76561198006797349,[MER],S ΣaⓁ hßD
5,76561197969779893,[MCL],Jonnooo.
6,76561198130622958,[VRB],Nestori
7,76561198067261467,[WIL],JBence
8,76561198979803801,[MCL],ChargedJT
9,76561198091139327,[FER],SSR | Boxerevo
10,76561198245163882,,MrBubbles
11,76561198813518085,[SAU],Igiava
12,76561199023733877,[4],Yehudahsan
13,76561198999907438,[ALP],Cosanderi
14,76561198131829686,[SAU],McVizn
15,76561198071671577,[AMR],darren.gurney
16,76561198096169747,[FER],cyberpunk_42
17,76561198065197355,[WIL],grongos
18,76561197982925324,[WIL],CouchFerret
19,76561197982451598,,taHleS
